#Sección,Des. Sección,O. Gestor,Des. O. Gestor,Centro Gestor,Des. C. Gestor,Capítulo,Des. Capítulo,Artículo,Des. Artículo,Concepto,Des. Concepto,Subconcepto,Des. Subconcepto,Pos. Presupuestaria,Fondo,Des. Fondo,Presupuesto  2016
04,CONSEJO CONSULTIVO,0401,CONSEJO CONSULTIVO,04010000,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82100,A personal funcionario y no laboral,I/82100,,,6130
04,CONSEJO CONSULTIVO,0401,CONSEJO CONSULTIVO,04010000,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82101,A personal laboral,I/82101,,,1840
06,DEUDA PÚBLICA,0601,DEUDA PÚBLICA,06010000,DEUDA PÚBLICA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,I/39900,,,6850000
06,DEUDA PÚBLICA,0601,DEUDA PÚBLICA,06010000,DEUDA PÚBLICA,9,PASIVOS FINANCIEROS,91,PRÉSTAMOS EN MONEDA NACIONAL,911,Préstamos recibidos a largo plazo,91101,Préstamos recibidos a l/p de entes dentro s.p.,I/91101,,,1707982680
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38,REINTEGROS DE OPERACIONES CORRIENTES,381,De presupuesto corriente,38100,De presupuesto corriente,I/38100,,,11000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,I/39900,,,130000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses de cuentas bancarias,52000,Intereses de cuentas bancarias,I/52000,,,1000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82000,A personal funcionario y no laboral,I/82000,,,7200
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82001,A personal laboral,I/82001,,,5000
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82100,A personal funcionario y no laboral,I/82100,,,9300
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES DE C-LM,1104,SECRETARÍA GENERAL DE PRESIDENCIA,11040000,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82101,A personal laboral,I/82101,,,3500
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,10,SOBRE LA RENTA,100,Impuesto sobre la Renta de las Personas Físicas,10000,Tramo autonómico Impuesto Renta Personas Físicas,I/10000,,,1061918450
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,10,SOBRE LA RENTA,100,Impuesto sobre la Renta de las Personas Físicas,10001,IRPF. Liquidación de ejercicios anteriores,I/10001,,,-13401260
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,110,Impuesto sobre sucesiones y donaciones,11001,Impuesto sobre sucesiones,I/11001,,,86000940
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,110,Impuesto sobre sucesiones y donaciones,11002,Impuesto sobre donaciones,I/11002,,,21619980
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,111,Impuesto sobre el patrimonio,11100,Impuesto sobre el patrimonio,I/11100,,,17754180
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,113,Impues sobre Depósitos en las Entidades de Crédito,11300,Impues sobre Depósitos en las Entidades de Crédito,I/11300,,,17163930
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,TRANSMISIONES PATRIMONIALES Y ACTOS JURÍDICOS D.,200,Sobre transmisiones intervivos,20001,Transmisiones patrimoniales onerosas,I/20001,,,223158690
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,TRANSMISIONES PATRIMONIALES Y ACTOS JURÍDICOS D.,200,Sobre transmisiones intervivos,20002,Operaciones societarias,I/20002,,,849540
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,TRANSMISIONES PATRIMONIALES Y ACTOS JURÍDICOS D.,201,Sobre actos jurídicos documentados,20100,Sobre actos jurídicos documentados,I/20100,,,104747200
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,21,SOBRE EL JUEGO (EXTINGUIDO),211,Impuesto sobre las actividades del juego,21100,Impuesto sobre las actividades del juego,I/21100,,,3395000
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22000,Sobre determinados medios de transporte,I/22000,,,8614080
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1502,SECRETARÍA GENERAL,15020000,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICOS,220,Impuestos especiales,22001,Impuesto especial sobre la cerveza,I/22001,,,7692160
